pickup_datetime,zone_id,zone_type,trip_count,drivers_online,avg_fare_inr,avg_wait_time_sec,surge_multiplier,is_rain
2024-09-01 00:00:00,1,Residential,16,15,217.01,284.0,1.07,0
2024-09-01 00:00:00,2,Mixed,19,23,143.22,232.7,1.0,0
2024-09-01 00:00:00,3,Mixed,26,22,198.1,303.2,1.18,0
2024-09-01 00:00:00,4,Residential,19,8,473.17,541.7,2.38,0
2024-09-01 00:00:00,5,Mixed,22,19,141.4,271.7,1.16,0
2024-09-01 00:00:00,6,Mixed,32,17,267.29,431.4,1.88,0
2024-09-01 00:00:00,7,Residential,12,13,122.16,245.7,1.0,0
2024-09-01 00:00:00,8,Residential,15,13,160.45,293.5,1.15,0
2024-09-01 00:00:00,9,Mixed,33,13,336.22,558.1,2.54,1
2024-09-01 00:00:00,10,CBD,52,39,161.56,311.4,1.33,0
2024-09-01 00:00:00,11,CBD,38,37,144.21,233.4,1.03,0
2024-09-01 00:00:00,12,CBD,46,36,284.48,317.9,1.28,0
2024-09-01 00:00:00,13,Mixed,25,20,239.03,336.5,1.25,0
2024-09-01 00:00:00,14,Mixed,17,14,183.35,334.8,1.21,0
2024-09-01 00:00:00,15,Mixed,29,27,186.6,274.2,1.07,0
2024-09-01 00:00:00,16,Mixed,18,24,186.4,208.2,1.0,0
2024-09-01 00:00:00,17,Residential,14,14,197.15,283.0,1.0,0
2024-09-01 00:00:00,18,Residential,24,8,715.37,643.4,3.0,0
2024-09-01 00:00:00,19,CBD,50,29,168.95,404.1,1.72,0
2024-09-01 00:00:00,20,CBD,52,43,153.51,302.3,1.21,0
2024-09-01 01:00:00,1,Residential,23,10,463.51,540.1,2.3,0
2024-09-01 01:00:00,2,Mixed,33,18,250.48,428.0,1.83,0
2024-09-01 01:00:00,3,Mixed,33,17,373.92,466.3,1.94,0
2024-09-01 01:00:00,4,Residential,20,12,264.7,380.2,1.67,0
2024-09-01 01:00:00,5,Mixed,30,14,291.7,516.1,2.14,0
2024-09-01 01:00:00,6,Mixed,15,13,162.15,287.1,1.15,0
2024-09-01 01:00:00,7,Residential,11,8,234.4,331.0,1.38,0
2024-09-01 01:00:00,8,Residential,18,10,324.01,409.2,1.8,0
2024-09-01 01:00:00,9,Mixed,27,14,376.91,434.3,1.93,1
2024-09-01 01:00:00,10,CBD,50,44,226.37,261.1,1.14,0
2024-09-01 01:00:00,11,CBD,57,40,250.6,341.2,1.43,0
